,Movies,movie_id
0,Toy Story (1995),0114709
1,GoldenEye (1995),0113189
2,Four Rooms (1995),0113101
3,Get Shorty (1995),0113161
4,Copycat (1995),0112722
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0115012
6,Twelve Monkeys (1995),0114746
7,Babe (1995),0112431
8,Dead Man Walking (1995),0112818
9,Richard III (1995),0114279
10,Seven (Se7en) (1995),25064618
11,"Usual Suspects, The (1995)",0114814
12,Mighty Aphrodite (1995),0113819
13,"Postino, Il (1994)",0110877
14,Mr. Holland's Opus (1995),0113862
15,French Twist (Gazon maudit) (1995),
16,From Dusk Till Dawn (1996),0116367
17,"White Balloon, The (1995)",0112445
18,Antonia's Line (1995),0112379
19,Angels and Insects (1995),0112365
20,Muppet Treasure Island (1996),0117110
21,Braveheart (1995),0112573
22,Taxi Driver (1976),0075314
23,Rumble in the Bronx (1995),0113326
24,"Birdcage, The (1996)",0115685
25,"Brothers McMullen, The (1995)",0112585
26,Bad Boys (1995),0112442
27,Apollo 13 (1995),0112384
28,Batman Forever (1995),0112462
29,Belle de jour (1967),0061395
30,Crimson Tide (1995),0112740
31,Crumb (1994),0109508
32,Desperado (1995),0112851
33,"Doom Generation, The (1995)",0112887
34,Free Willy 2: The Adventure Home (1995),0113114
35,Mad Love (1995),0113729
36,Nadja (1994),0110620
37,"Net, The (1995)",0113957
38,Strange Days (1995),0114558
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0114682
40,Billy Madison (1995),0112508
41,Clerks (1994),0109445
42,Disclosure (1994),0109635
43,Dolores Claiborne (1994),0109642
44,Eat Drink Man Woman (1994),0111797
45,Exotica (1994),0109759
46,Ed Wood (1994),0109707
47,Hoop Dreams (1994),0110057
48,I.Q. (1994),0110099
49,Star Wars (1977),0076759
50,Legends of the Fall (1994),0110322
51,"Madness of King George, The (1994)",0110428
52,Natural Born Killers (1994),0110632
53,Outbreak (1995),0114069
54,"Professional, The (1994)",0110413
55,Pulp Fiction (1994),0110912
56,Priest (1994),0110889
57,Quiz Show (1994),0110932
58,Three Colors: Red (1994),0111495
59,Three Colors: Blue (1993),0108394
60,Three Colors: White (1994),0111507
61,Stargate (1994),0111282
62,"Santa Clause, The (1994)",0111070
63,"Shawshank Redemption, The (1994)",0111161
64,What's Eating Gilbert Grape (1993),0108550
65,While You Were Sleeping (1995),0114924
66,Ace Ventura: Pet Detective (1994),0109040
67,"Crow, The (1994)",0109506
68,Forrest Gump (1994),0109830
69,Four Weddings and a Funeral (1994),0109831
70,"Lion King, The (1994)",0110357
71,"Mask, The (1994)",0110475
72,Maverick (1994),0110478
73,Faster Pussycat! Kill! Kill! (1965),0059170
74,Brother Minister: The Assassination of Malcolm X (1994),0109339
75,Carlito's Way (1993),0106519
76,"Firm, The (1993)",0106918
77,Free Willy (1993),0106965
78,"Fugitive, The (1993)",0106977
79,Hot Shots! Part Deux (1993),0107144
80,"Hudsucker Proxy, The (1994)",0110074
81,Jurassic Park (1993),0107290
82,Much Ado About Nothing (1993),0107616
83,Robert A. Heinlein's The Puppet Masters (1994),0111003
84,"Ref, The (1994)",0110955
85,"Remains of the Day, The (1993)",0107943
86,Searching for Bobby Fischer (1993),0108065
87,Sleepless in Seattle (1993),0108160
88,Blade Runner (1982),0083658
89,So I Married an Axe Murderer (1993),0108174
90,"Nightmare Before Christmas, The (1993)",0107688
91,True Romance (1993),0108399
92,Welcome to the Dollhouse (1995),0114906
93,Home Alone (1990),0099785
94,Aladdin (1992),0103639
95,Terminator 2: Judgment Day (1991),0103064
96,Dances with Wolves (1990),0099348
97,"Silence of the Lambs, The (1991)",0102926
98,Snow White and the Seven Dwarfs (1937),0029583
99,Fargo (1996),0116282
100,Heavy Metal (1981),0082509
101,"Aristocats, The (1970)",0065421
102,All Dogs Go to Heaven 2 (1996),0115509
103,Theodore Rex (1995),0114658
104,Sgt. Bilko (1996),0117608
105,Diabolique (1996),0116095
106,Moll Flanders (1996),0117071
107,Kids in the Hall: Brain Candy (1996),0116768
108,Mystery Science Theater 3000: The Movie (1996),0117128
109,Operation Dumbo Drop (1995),0114048
110,"Truth About Cats & Dogs, The (1996)",0117979
111,Flipper (1996),0116322
112,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",0113362
113,Wallace & Gromit: The Best of Aardman Animation (1996),2185063
114,"Haunted World of Edward D. Wood Jr., The (1995)",0113270
115,Cold Comfort Farm (1995),0112701
116,"Rock, The (1996)",0117500
117,Twister (1996),0117998
118,Maya Lin: A Strong Clear Vision (1994),0110480
119,Striptease (1996),0117765
120,Independence Day (ID4) (1996),23684408
121,"Cable Guy, The (1996)",0115798
122,"Frighteners, The (1996)",0116365
123,Lone Star (1996),0116905
124,Phenomenon (1996),0117333
125,"Spitfire Grill, The (1996)",0117718
126,"Godfather, The (1972)",0068646
127,Supercop (1992),0104558
128,Bound (1996),0115736
129,Kansas City (1996),0116745
130,Breakfast at Tiffany's (1961),0054698
131,"Wizard of Oz, The (1939)",0032138
132,Gone with the Wind (1939),0031381
133,Citizen Kane (1941),0033467
134,2001: A Space Odyssey (1968),0062622
135,Mr. Smith Goes to Washington (1939),0031679
136,Big Night (1996),0115678
137,D3: The Mighty Ducks (1996),0116000
138,"Love Bug, The (1969)",0064603
139,Homeward Bound: The Incredible Journey (1993),0107131
140,"20,000 Leagues Under the Sea (1954)",0046672
141,Bedknobs and Broomsticks (1971),0066817
142,"Sound of Music, The (1965)",0059742
143,Die Hard (1988),0095016
144,"Lawnmower Man, The (1992)",0104692
145,Unhook the Stars (1996),0118044
146,"Long Kiss Goodnight, The (1996)",0116908
147,"Ghost and the Darkness, The (1996)",0116409
148,Jude (1996),0116722
149,Swingers (1996),0117802
150,Willy Wonka and the Chocolate Factory (1971),0067992
151,Sleeper (1973),0070707
152,"Fish Called Wanda, A (1988)",0095159
153,Monty Python's Life of Brian (1979),12373958
154,Dirty Dancing (1987),0092890
155,Reservoir Dogs (1992),0105236
156,Platoon (1986),0091763
157,Weekend at Bernie's (1989),0098627
158,Basic Instinct (1992),0103772
159,Glengarry Glen Ross (1992),0104348
160,Top Gun (1986),0092099
161,On Golden Pond (1981),0082846
162,"Return of the Pink Panther, The (1974)",0072081
163,"Abyss, The (1989)",0096754
164,Jean de Florette (1986),0091288
165,Manon of the Spring (Manon des sources) (1986),0091480
166,Private Benjamin (1980),0081375
167,Monty Python and the Holy Grail (1974),0372432
168,"Wrong Trousers, The (1993)",0108598
169,Cinema Paradiso (1988),0095765
170,Delicatessen (1991),0101700
171,"Empire Strikes Back, The (1980)",0080684
172,"Princess Bride, The (1987)",0093779
173,Raiders of the Lost Ark (1981),0082971
174,Brazil (1985),0088846
175,Aliens (1986),0090605
176,"Good, The Bad and The Ugly, The (1966)",0060196
177,12 Angry Men (1957),0050083
178,"Clockwork Orange, A (1971)",0066921
179,Apocalypse Now (1979),
180,Return of the Jedi (1983),0086190
181,GoodFellas (1990),0099685
182,Alien (1979),0078748
183,Army of Darkness (1993),24267438
184,Psycho (1960),0054215
185,"Blues Brothers, The (1980)",0080455
186,"Godfather: Part II, The (1974)",0071562
187,Full Metal Jacket (1987),0093058
188,"Grand Day Out, A (1992)",0104361
189,Henry V (1989),0097499
190,Amadeus (1984),0086879
191,Raging Bull (1980),0081398
192,"Right Stuff, The (1983)",21366850
193,"Sting, The (1973)",0070735
194,"Terminator, The (1984)",0088247
195,Dead Poets Society (1989),0097165
196,"Graduate, The (1967)",0061722
197,Nikita (La Femme Nikita) (1990),30058202
198,"Bridge on the River Kwai, The (1957)",0050212
199,"Shining, The (1980)",0081505
200,Evil Dead II (1987),0092991
201,Groundhog Day (1993),
202,Unforgiven (1992),0105695
203,Back to the Future (1985),0088763
204,Patton (1970),0066206
205,Akira (1988),0094625
206,Cyrano de Bergerac (1990),0099334
207,Young Frankenstein (1974),0072431
208,This Is Spinal Tap (1984),0088258
209,Indiana Jones and the Last Crusade (1989),0097576
210,M*A*S*H (1970),0066026
211,"Unbearable Lightness of Being, The (1988)",0096332
212,"Room with a View, A (1986)",0091867
213,Pink Floyd - The Wall (1982),0084503
214,Field of Dreams (1989),0097351
215,When Harry Met Sally... (1989),0098635
216,Bram Stoker's Dracula (1992),0103874
217,Cape Fear (1991),0101540
218,"Nightmare on Elm Street, A (1984)",0087800
219,"Mirror Has Two Faces, The (1996)",0117057
220,Breaking the Waves (1996),0115751
221,Star Trek: First Contact (1996),0117731
222,Sling Blade (1996),0117666
223,Ridicule (1996),0117477
224,101 Dalmatians (1996),0115433
225,Die Hard 2 (1990),0099423
226,Star Trek VI: The Undiscovered Country (1991),0102975
227,Star Trek: The Wrath of Khan (1982),0084726
228,Star Trek III: The Search for Spock (1984),0088170
229,Star Trek IV: The Voyage Home (1986),0092007
230,Batman Returns (1992),0103776
231,Young Guns (1988),0096487
232,Under Siege (1992),0105690
233,Jaws (1975),0073195
234,Mars Attacks! (1996),0116996
235,Citizen Ruth (1996),0115906
236,Jerry Maguire (1996),0116695
237,Raising Arizona (1987),0093822
238,Sneakers (1992),0105435
239,Beavis and Butt-head Do America (1996),0115641
240,"Last of the Mohicans, The (1992)",0104691
241,Kolya (1996),0116790
242,Jungle2Jungle (1997),0119432
243,Smilla's Sense of Snow (1997),0120152
244,"Devil's Own, The (1997)",0118972
245,Chasing Amy (1997),0118842
246,Turbo: A Power Rangers Movie (1997),0120389
247,Grosse Pointe Blank (1997),0119229
248,Austin Powers: International Man of Mystery (1997),0118655
249,"Fifth Element, The (1997)",0119116
250,Shall We Dance? (1996),0117615
251,"Lost World: Jurassic Park, The (1997)",0119567
252,"Pillow Book, The (1995)",0114134
253,Batman & Robin (1997),1018685
254,My Best Friend's Wedding (1997),0119738
255,When the Cats Away (Chacun cherche son chat) (1996),
256,Men in Black (1997),0119654
257,Contact (1997),0118884
258,George of the Jungle (1997),0119190
259,Event Horizon (1997),0119081
260,Air Bud (1997),0118570
261,In the Company of Men (1997),0119361
262,Steel (1997),0120207
263,Mimic (1997),0119675
264,"Hunt for Red October, The (1990)",0099810
265,Kull the Conqueror (1997),0119484
266,unknown,1401152
268,"Full Monty, The (1997)",
269,Gattaca (1997),0119164
270,Starship Troopers (1997),0119177
271,Good Will Hunting (1997),0120201
272,Heat (1995),0119217
273,Sabrina (1995),0113277
274,Sense and Sensibility (1995),0114319
275,Leaving Las Vegas (1995),0114388
276,Restoration (1995),0113627
277,Bed of Roses (1996),0114272
278,Once Upon a Time... When We Were Colored (1995),0115644
279,Up Close and Personal (1996),0114039
280,"River Wild, The (1994)",0118055
281,"Time to Kill, A (1996)",0110997
282,Emma (1996),0117913
283,Tin Cup (1996),0116191
284,Secrets & Lies (1996),0117918
285,"English Patient, The (1996)",0117589
286,Marvin's Room (1996),0116209
287,Scream (1996),0116999
288,Evita (1996),0117571
289,Fierce Creatures (1997),0116250
290,Absolute Power (1997),0119115
291,Rosewood (1997),
292,Donnie Brasco (1997),0120036
293,Liar Liar (1997),0119008
294,Breakdown (1997),0119528
295,"Promesse, La (1996)",0118771
296,Ulee's Gold (1997),0117398
297,Face/Off (1997),0120402
298,Hoodlum (1997),0119094
299,Air Force One (1997),0119311
300,In & Out (1997),0118571
301,L.A. Confidential (1997),0119360
303,Fly Away Home (1996),0119488
304,"Ice Storm, The (1997)",
305,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",0116329
306,"Devil's Advocate, The (1997)",0119349
307,FairyTale: A True Story (1997),0119280
308,Deceiver (1997),0118971
309,"Rainmaker, The (1997)",0119095
310,"Wings of the Dove, The (1997)",0119527
311,Midnight in the Garden of Good and Evil (1997),0119978
312,Titanic (1997),0120520
313,3 Ninjas: High Noon At Mega Mountain (1998),0119668
314,Apt Pupil (1998),0120338
315,As Good As It Gets (1997),0118539
316,In the Name of the Father (1993),0118636
317,Schindler's List (1993),0119822
318,Everyone Says I Love You (1996),0107207
319,Paradise Lost: The Child Murders at Robin Hood Hills (1996),0108052
320,Mother (1996),0116242
321,Murder at 1600 (1997),0117293
322,Dante's Peak (1997),0117091
323,Lost Highway (1997),0119731
324,Crash (1996),0118928
325,G.I. Jane (1997),0116922
326,Cop Land (1997),0115964
327,Conspiracy Theory (1997),0119173
328,Desperate Measures (1998),0118887
329,187 (1997),0118883
330,"Edge, The (1997)",0118966
331,Kiss the Girls (1997),0118531
332,"Game, The (1997)",0119051
333,U Turn (1997),0119468
334,How to Be a Player (1997),0119174
335,Playing God (1997),0120399
336,"House of Yes, The (1997)",0119326
337,Bean (1997),0119906
338,Mad City (1997),0119324
339,Boogie Nights (1997),0118689
340,Critical Care (1997),0119592
341,"Man Who Knew Too Little, The (1997)",0118749
342,Alien: Resurrection (1997),0118901
343,"Apostle, The (1997)",0120483
344,Deconstructing Harry (1997),0118583
345,Jackie Brown (1997),0118632
346,Wag the Dog (1997),0118954
348,Hard Rain (1998),0119396
349,Fallen (1998),0120885
350,"Prophecy II, The (1998)",
351,Spice World (1997),0120696
352,Deep Rising (1998),0119099
353,"Wedding Singer, The (1998)",15227416
354,Sphere (1998),0120185
355,"Client, The (1994)",0118956
356,One Flew Over the Cuckoo's Nest (1975),0120888
357,Spawn (1997),0120184
358,"Assignment, The (1997)",0109446
359,Wonderland (1997),0073486
360,Incognito (1997),0120177
361,Blues Brothers 2000 (1998),0118647
362,Sudden Death (1995),0120529
363,Ace Ventura: When Nature Calls (1995),0119365
364,Powder (1995),28118749
365,Dangerous Minds (1995),0114576
366,Clueless (1995),0112281
367,Bio-Dome (1996),0114168
368,Black Sheep (1996),0112792
369,Mary Reilly (1996),0112697
370,"Bridges of Madison County, The (1995)",0115683
371,Jeffrey (1995),0115697
372,Judge Dredd (1995),0117002
373,Mighty Morphin Power Rangers: The Movie (1995),0112579
374,Showgirls (1995),0113464
375,Houseguest (1994),0113492
376,Heavyweights (1994),0113820
377,Miracle on 34th Street (1994),0114436
378,Tales From the Crypt Presents: Demon Knight (1995),0110066
379,Star Trek: Generations (1994),0110006
380,Muriel's Wedding (1994),0110527
381,"Adventures of Priscilla, Queen of the Desert, The (1994)",0114608
382,"Flintstones, The (1994)",0111280
383,Naked Gun 33 1/3: The Final Insult (1994),0110598
384,True Lies (1994),0109045
385,Addams Family Values (1993),0109813
386,"Age of Innocence, The (1993)",0110622
387,Beverly Hills Cop III (1994),0111503
388,Black Beauty (1994),0106220
389,Fear of a Black Hat (1993),0106226
390,Last Action Hero (1993),0109254
391,"Man Without a Face, The (1993)",0109279
392,Mrs. Doubtfire (1993),0106880
393,Radioland Murders (1994),0107362
394,Robin Hood: Men in Tights (1993),0107501
395,Serial Mom (1994),0107614
396,Striking Distance (1993),0110939
397,Super Mario Bros. (1993),0107977
398,"Three Musketeers, The (1993)",0111127
399,"Little Rascals, The (1994)",0108238
400,"Brady Bunch Movie, The (1995)",0108255
401,Ghost (1990),0108333
402,Batman (1989),0110366
403,Pinocchio (1940),0112572
404,Mission: Impossible (1996),0099653
405,Thinner (1996),0096895
406,Spy Hard (1996),0032910
407,"Close Shave, A (1995)",0117060
408,Jack (1996),0117894
409,Kingpin (1996),0117723
410,"Nutty Professor, The (1996)",0112691
411,"Very Brady Sequel, A (1996)",0116669
412,Tales from the Crypt Presents: Bordello of Blood (1996),0116778
413,My Favorite Year (1982),0117218
414,"Apple Dumpling Gang, The (1975)",0118073
415,Old Yeller (1957),28355107
416,"Parent Trap, The (1961)",0084370
417,Cinderella (1950),0072653
418,Mary Poppins (1964),0050798
419,Alice in Wonderland (1951),0055277
420,William Shakespeare's Romeo and Juliet (1996),0042332
421,Aladdin and the King of Thieves (1996),0058331
422,E.T. the Extra-Terrestrial (1982),0043274
423,Children of the Corn: The Gathering (1996),0117509
424,Bob Roberts (1992),0115491
425,"Transformers: The Movie, The (1986)",0083866
426,To Kill a Mockingbird (1962),0115885
427,Harold and Maude (1971),0103850
428,"Day the Earth Stood Still, The (1951)",0092106
429,Duck Soup (1933),0056592
430,Highlander (1986),0067185
431,Fantasia (1940),0043456
432,Heathers (1989),0023969
433,Forbidden Planet (1956),0091203
434,Butch Cassidy and the Sundance Kid (1969),0032455
435,"American Werewolf in London, An (1981)",29031786
436,Amityville 1992: It's About Time (1992),0049223
437,Amityville 3-D (1983),0064115
438,Amityville: A New Generation (1993),0082010
439,Amityville II: The Possession (1982),0103678
440,"Amityville Horror, The (1979)",0085159
441,"Amityville Curse, The (1990)",0106262
442,"Birds, The (1963)",0083550
443,"Blob, The (1958)",0078767
444,"Body Snatcher, The (1945)",24705428
445,Burnt Offerings (1976),0056869
446,Carrie (1976),0051418
447,"Omen, The (1976)",29212181
448,Star Trek: The Motion Picture (1979),0074258
449,Star Trek V: The Final Frontier (1989),0074285
450,Grease (1978),0075005
451,Jaws 2 (1978),0079945
452,Jaws 3-D (1983),0098382
453,Bastard Out of Carolina (1996),0077631
454,Jackie Chan's First Strike (1996),0077766
455,Beverly Hills Ninja (1997),0085750
456,Free Willy 3: The Rescue (1997),0115633
457,Nixon (1995),0116704
458,"Cry, the Beloved Country (1995)",0118708
459,"Crossing Guard, The (1995)",0119152
460,Smoke (1995),0113987
461,Like Water For Chocolate (Como agua para chocolate) (1992),0112749
462,"Secret of Roan Inish, The (1994)",0112744
463,Vanya on 42nd Street (1994),0114478
464,"Jungle Book, The (1994)",0103994
465,Red Rock West (1992),0111112
466,"Bronx Tale, A (1993)",0111590
467,Rudy (1993),0110213
468,Short Cuts (1993),0105226
469,Tombstone (1993),0106489
470,Courage Under Fire (1996),0108002
471,Dragonheart (1996),0108122
472,James and the Giant Peach (1996),0108358
473,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),0115956
474,Trainspotting (1996),0116136
475,"First Wives Club, The (1996)",0116683
476,Matilda (1996),0057012
477,"Philadelphia Story, The (1940)",0117951
478,Vertigo (1958),0116313
479,North by Northwest (1959),0117008
480,"Apartment, The (1960)",0032904
481,Some Like It Hot (1959),0052357
482,Casablanca (1942),0053125
483,"Maltese Falcon, The (1941)",0053604
484,My Fair Lady (1964),0053291
485,Sabrina (1954),0034583
486,Roman Holiday (1953),0033870
487,Sunset Blvd. (1950),0058385
488,Notorious (1946),0047437
489,To Catch a Thief (1955),0046250
490,"Adventures of Robin Hood, The (1938)",0043014
491,East of Eden (1955),0038787
492,"Thin Man, The (1934)",0048728
493,His Girl Friday (1940),0029843
494,Around the World in 80 Days (1956),0048028
495,It's a Wonderful Life (1946),0025878
496,Bringing Up Baby (1938),0032599
497,"African Queen, The (1951)",0048960
498,Cat on a Hot Tin Roof (1958),0038650
500,Dumbo (1941),0029947
501,Bananas (1971),0043265
502,"Candidate, The (1972)",0051459
503,Bonnie and Clyde (1967),
504,Dial M for Murder (1954),0033563
505,Rebel Without a Cause (1955),0066808
506,"Streetcar Named Desire, A (1951)",0068334
507,"People vs. Larry Flynt, The (1996)",0061418
508,My Left Foot (1989),0046912
509,"Magnificent Seven, The (1954)",0048545
510,Lawrence of Arabia (1962),0044081
511,Wings of Desire (1987),0117318
512,"Third Man, The (1949)",0097937
513,Annie Hall (1977),2404435
514,"Boot, Das (1981)",0056172
515,Local Hero (1983),0093191
516,Manhattan (1979),0041959
517,Miller's Crossing (1990),0075686
518,"Treasure of the Sierra Madre, The (1948)",0082096
519,"Great Escape, The (1963)",0085859
520,"Deer Hunter, The (1978)",0079522
521,Down by Law (1986),0100150
522,Cool Hand Luke (1967),0040897
523,"Great Dictator, The (1940)",0057115
524,"Big Sleep, The (1946)",0077416
525,Ben-Hur (1959),0090967
526,Gandhi (1982),0061512
527,"Killing Fields, The (1984)",0032553
528,My Life as a Dog (Mitt liv som hund) (1985),0038355
529,"Man Who Would Be King, The (1975)",0052618
530,Shine (1996),0083987
531,Kama Sutra: A Tale of Love (1996),0087553
532,"Daytrippers, The (1996)",
533,Traveller (1997),0073341
534,Addicted to Love (1997),0117631
535,Ponette (1996),0116743
536,My Own Private Idaho (1991),0116041
537,Anastasia (1997),0120366
538,Mouse Hunt (1997),0118556
539,Money Train (1995),0117359
540,Mortal Kombat (1995),0102494
541,Pocahontas (1995),0118617
542,"Misérables, Les (1995)",0119715
543,Things to Do in Denver when You're Dead (1995),0113845
544,Vampire in Brooklyn (1995),0113855
545,Broken Arrow (1996),0114148
546,"Young Poisoner's Handbook, The (1995)",0113828
547,"NeverEnding Story III, The (1994)",0114660
548,Rob Roy (1995),0114825
549,Die Hard: With a Vengeance (1995),0115759
550,Lord of Illusions (1995),0115033
551,Species (1995),0110647
552,"Walk in the Clouds, A (1995)",0114287
553,Waterworld (1995),0112864
554,White Man's Burden (1995),0113690
555,Wild Bill (1995),0114508
556,Farinelli: il castrato (1994),0114887
557,Heavenly Creatures (1994),0114898
558,Interview with the Vampire (1994),0114928
559,"Kid in King Arthur's Court, A (1995)",0114938
